checkpoint,eval_model,jpeg_quality,image,prompt,psnr_immunized,ssim_imm_orig,ssim_clean_edit,ssim_imm_edit,disrupted
sd15_only,sd15,none,image_73.png,A person in a street market,86.084,1.0,0.4873,0.5186,0
sd15_only,sd15,75,image_73.png,A person in a locker room,37.504,0.9552,0.4372,0.4795,0
sd15_only,sd15,75,image_73.png,A person in a street market,37.504,0.9552,0.4873,0.4709,0
sd15_only,sd15,70,image_73.png,A person in a locker room,36.891,0.9502,0.4372,0.4725,0
sd15_only,sd15,70,image_73.png,A person in a street market,36.891,0.9502,0.4873,0.4693,0
sd15_only,sd15,none,image_80.png,A person in a hot dog stand,83.598,1.0,0.4775,0.5224,0
sd15_only,sd15,none,image_80.png,A person in a bridal fitting room,83.598,1.0,0.5252,0.5087,0
sd15_only,sd15,75,image_80.png,A person in a hot dog stand,37.282,0.9632,0.4775,0.5465,0
sd15_only,sd15,75,image_80.png,A person in a bridal fitting room,37.282,0.9632,0.5252,0.5661,0
sd15_only,sd15,70,image_80.png,A person in a hot dog stand,36.501,0.9573,0.4775,0.5648,0
sd15_only,sd15,70,image_80.png,A person in a bridal fitting room,36.501,0.9573,0.5252,0.5566,0
sd15_only,sd15,none,image_82.png,A person in a beach resort,89.514,1.0,0.6928,0.6839,0
sd15_only,sd15,none,image_82.png,A person in a transit station,89.514,1.0,0.6993,0.6975,0
sd15_only,sd15,75,image_82.png,A person in a beach resort,40.209,0.9737,0.6928,0.7029,0
sd15_only,sd15,75,image_82.png,A person in a transit station,40.209,0.9737,0.6993,0.645,1
sd15_only,sd15,70,image_82.png,A person in a beach resort,39.469,0.9697,0.6928,0.6896,0
sd15_only,sd15,70,image_82.png,A person in a transit station,39.469,0.9697,0.6993,0.6925,0
sd15_only,sd15,none,image_93.png,A person in a motel room,82.869,1.0,0.6252,0.438,1
sd15_only,sd15,none,image_93.png,A person in a tech launch event,82.869,1.0,0.5663,0.6135,0
sd15_only,sd15,75,image_93.png,A person in a motel room,35.343,0.9631,0.6252,0.5598,1
sd15_only,sd15,75,image_93.png,A person in a tech launch event,35.343,0.9631,0.5663,0.5278,0
sd15_only,sd15,70,image_93.png,A person in a motel room,34.618,0.9582,0.6252,0.5277,1
sd15_only,sd15,70,image_93.png,A person in a tech launch event,34.618,0.9582,0.5663,0.5454,0
sd15_only,sd15,none,image_94.png,A person in a computer lab,76.658,1.0,0.5856,0.545,0
sd15_only,sd15,none,image_94.png,A person in a lobby,76.658,1.0,0.5381,0.4967,0
sd15_only,sd15,75,image_94.png,A person in a computer lab,37.508,0.9684,0.5856,0.3751,1
sd15_only,sd15,75,image_94.png,A person in a lobby,37.508,0.9684,0.5381,0.6547,0
sd15_only,sd15,70,image_94.png,A person in a computer lab,36.77,0.9642,0.5856,0.589,0
sd15_only,sd15,70,image_94.png,A person in a lobby,36.77,0.9642,0.5381,0.5664,0
sd15_only,sd15,none,image_104.png,A person in a pet festival,87.855,1.0,0.5823,0.5814,0
sd15_only,sd15,none,image_104.png,A person in a slum,87.855,1.0,0.4516,0.4465,0
sd15_only,sd15,75,image_104.png,A person in a pet festival,38.819,0.9665,0.5823,0.6187,0
sd15_only,sd15,75,image_104.png,A person in a slum,38.819,0.9665,0.4516,0.5174,0
sd15_only,sd15,70,image_104.png,A person in a pet festival,38.204,0.9625,0.5823,0.5488,0
sd15_only,sd15,70,image_104.png,A person in a slum,38.204,0.9625,0.4516,0.5292,0
sd15_only,sd15,none,image_110.png,A person in a gym sauna,89.367,1.0,0.5197,0.6324,0
sd15_only,sd15,none,image_110.png,A person in a glass factory,89.367,1.0,0.6647,0.6486,0
sd15_only,sd15,75,image_110.png,A person in a gym sauna,39.318,0.9699,0.5197,0.6012,0
sd15_only,sd15,75,image_110.png,A person in a glass factory,39.318,0.9699,0.6647,0.7212,0
