checkpoint,image,prompt,purify_strength,psnr_immunized,psnr_purified,ssim_purified_vs_orig,ssim_clean_edit,ssim_direct_edit,ssim_purified_edit,ssim_purified_clean_edit,direct_disrupted,purified_disrupted,purification_control_disrupted
sd15_only,image_37.png,A person in a tech startup launch,0.7,29.556,23.392,0.7573,0.7341,0.7265,0.6277,0.6371,0,1,1
sd15_only,image_47.png,A person in a hot dog stand,0.3,34.299,32.837,0.9651,0.6856,0.6698,0.6771,0.6956,0,0,0
sd15_only,image_47.png,A person in a creative writing event,0.3,34.299,32.837,0.9651,0.6827,0.66,0.6679,0.6882,0,0,0
sd15_only,image_47.png,A person in a hot dog stand,0.5,34.299,22.151,0.6948,0.6856,0.6698,0.5611,0.5559,0,1,1
sd15_only,image_47.png,A person in a creative writing event,0.5,34.299,22.151,0.6948,0.6827,0.66,0.5532,0.5666,0,1,1
sd15_only,image_47.png,A person in a hot dog stand,0.7,34.299,22.362,0.7036,0.6856,0.6698,0.5536,0.5476,0,1,1
sd15_only,image_47.png,A person in a creative writing event,0.7,34.299,22.362,0.7036,0.6827,0.66,0.5602,0.5685,0,1,1
sd15_only,image_49.png,A person in a music and arts festival,0.3,25.175,25.171,0.8574,0.6187,0.4899,0.4851,0.5785,1,1,0
sd15_only,image_49.png,A person in a bus stop shelter,0.3,25.175,25.171,0.8574,0.6185,0.4858,0.4908,0.6129,1,1,0
sd15_only,image_49.png,A person in a music and arts festival,0.5,25.175,21.702,0.6309,0.6187,0.4899,0.4466,0.5,1,1,1
sd15_only,image_49.png,A person in a bus stop shelter,0.5,25.175,21.702,0.6309,0.6185,0.4858,0.4314,0.5148,1,1,1
sd15_only,image_49.png,A person in a music and arts festival,0.7,25.175,21.709,0.6239,0.6187,0.4899,0.4458,0.4972,1,1,1
sd15_only,image_49.png,A person in a bus stop shelter,0.7,25.175,21.709,0.6239,0.6185,0.4858,0.4268,0.4954,1,1,1
sd15_only,image_53.png,A person in a parking structure,0.3,27.057,26.982,0.8941,0.5678,0.4836,0.4963,0.5627,1,1,0
sd15_only,image_53.png,A person in a science museum exhibit,0.3,27.057,26.982,0.8941,0.5825,0.4826,0.507,0.5627,1,1,0
sd15_only,image_53.png,A person in a parking structure,0.5,27.057,22.266,0.6302,0.5678,0.4836,0.4406,0.4698,1,1,1
sd15_only,image_53.png,A person in a science museum exhibit,0.5,27.057,22.266,0.6302,0.5825,0.4826,0.4297,0.4766,1,1,1
sd15_only,image_53.png,A person in a parking structure,0.7,27.057,22.273,0.6456,0.5678,0.4836,0.4348,0.4684,1,1,1
sd15_only,image_53.png,A person in a science museum exhibit,0.7,27.057,22.273,0.6456,0.5825,0.4826,0.4534,0.4699,1,1,1
sd15_only,image_57.png,A person in a gym sauna,0.3,27.042,26.817,0.9184,0.7576,0.7133,0.6961,0.7498,0,1,0
sd15_only,image_57.png,A person in a community theater production,0.3,27.042,26.817,0.9184,0.7498,0.7011,0.7049,0.7606,0,0,0
sd15_only,image_57.png,A person in a gym sauna,0.5,27.042,22.136,0.7184,0.7576,0.7133,0.6299,0.6457,0,1,1
sd15_only,image_57.png,A person in a community theater production,0.5,27.042,22.136,0.7184,0.7498,0.7011,0.6308,0.6439,0,1,1
sd15_only,image_57.png,A person in a gym sauna,0.7,27.042,22.053,0.715,0.7576,0.7133,0.6277,0.6361,0,1,1
sd15_only,image_57.png,A person in a community theater production,0.7,27.042,22.053,0.715,0.7498,0.7011,0.6175,0.6438,0,1,1
sd15_only,image_58.png,A person in a costume shop,0.3,29.321,28.589,0.9312,0.6868,0.677,0.651,0.6822,0,0,0
sd15_only,image_58.png,A person in a candle shop,0.3,29.321,28.589,0.9312,0.6863,0.662,0.6606,0.6826,0,0,0
sd15_only,image_58.png,A person in a costume shop,0.5,29.321,21.987,0.7043,0.6868,0.677,0.5833,0.5809,0,1,1
sd15_only,image_58.png,A person in a candle shop,0.5,29.321,21.987,0.7043,0.6863,0.662,0.5764,0.571,0,1,1
sd15_only,image_58.png,A person in a costume shop,0.7,29.321,22.007,0.7061,0.6868,0.677,0.5762,0.5853,0,1,1
sd15_only,image_58.png,A person in a candle shop,0.7,29.321,22.007,0.7061,0.6863,0.662,0.5646,0.5822,0,1,1
sd15_only,image_66.png,A person in a gym sauna,0.3,33.417,32.403,0.9707,0.8346,0.8173,0.8133,0.8329,0,0,0
sd15_only,image_66.png,A person in a technology fair,0.3,33.417,32.403,0.9707,0.8347,0.8075,0.8066,0.8275,0,0,0
sd15_only,image_66.png,A person in a gym sauna,0.5,33.417,24.337,0.8222,0.8346,0.8173,0.7325,0.7501,0,1,1
sd15_only,image_66.png,A person in a technology fair,0.5,33.417,24.337,0.8222,0.8347,0.8075,0.7445,0.7777,0,1,1
sd15_only,image_66.png,A person in a gym sauna,0.7,33.417,24.64,0.8237,0.8346,0.8173,0.7555,0.7598,0,1,1
sd15_only,image_66.png,A person in a technology fair,0.7,33.417,24.64,0.8237,0.8347,0.8075,0.7622,0.7488,0,1,1
sd15_only,image_67.png,A person in a butcher’s shop,0.3,26.972,26.832,0.9184,0.8146,0.7248,0.7289,0.7838,1,1,0
sd15_only,image_67.png,A person in a pet festival,0.3,26.972,26.832,0.9184,0.8168,0.744,0.7432,0.8031,1,1,0
sd15_only,image_67.png,A person in a butcher’s shop,0.5,26.972,22.808,0.7433,0.8146,0.7248,0.6409,0.6929,1,1,1
sd15_only,image_67.png,A person in a pet festival,0.5,26.972,22.808,0.7433,0.8168,0.744,0.6747,0.6995,1,1,1
sd15_only,image_67.png,A person in a butcher’s shop,0.7,26.972,23.028,0.7527,0.8146,0.7248,0.6671,0.7205,1,1,1
sd15_only,image_67.png,A person in a pet festival,0.7,26.972,23.028,0.7527,0.8168,0.744,0.68,0.7133,1,1,1
sd15_only,image_73.png,A person in a locker room,0.3,29.305,28.879,0.9546,0.6202,0.601,0.5897,0.6164,0,0,0
sd15_only,image_73.png,A person in a street market,0.3,29.305,28.879,0.9546,0.6114,0.5736,0.585,0.6033,0,0,0
sd15_only,image_73.png,A person in a locker room,0.5,29.305,23.232,0.6811,0.6202,0.601,0.5306,0.5404,0,1,1
sd15_only,image_73.png,A person in a street market,0.5,29.305,23.232,0.6811,0.6114,0.5736,0.49,0.5183,0,1,1
sd15_only,image_73.png,A person in a locker room,0.7,29.305,23.113,0.6771,0.6202,0.601,0.504,0.5311,0,1,1
sd15_only,image_73.png,A person in a street market,0.7,29.305,23.113,0.6771,0.6114,0.5736,0.5151,0.5218,0,1,1
sd15_only,image_80.png,A person in a hot dog stand,0.3,27.964,27.54,0.9122,0.6596,0.5862,0.5707,0.6399,1,1,0
sd15_only,image_80.png,A person in a bridal fitting room,0.3,27.964,27.54,0.9122,0.6199,0.5824,0.5631,0.6344,0,1,0
sd15_only,image_80.png,A person in a hot dog stand,0.5,27.964,21.191,0.6332,0.6596,0.5862,0.4935,0.5009,1,1,1
sd15_only,image_80.png,A person in a bridal fitting room,0.5,27.964,21.191,0.6332,0.6199,0.5824,0.4859,0.496,0,1,1
sd15_only,image_80.png,A person in a hot dog stand,0.7,27.964,20.995,0.6223,0.6596,0.5862,0.4883,0.4973,1,1,1
sd15_only,image_80.png,A person in a bridal fitting room,0.7,27.964,20.995,0.6223,0.6199,0.5824,0.4736,0.5103,0,1,1
sd15_only,image_82.png,A person in a beach resort,0.3,36.735,35.327,0.9805,0.693,0.6737,0.662,0.6975,0,0,0
sd15_only,image_82.png,A person in a transit station,0.3,36.735,35.327,0.9805,0.6886,0.6816,0.6648,0.6809,0,0,0
sd15_only,image_82.png,A person in a beach resort,0.5,36.735,24.893,0.768,0.693,0.6737,0.625,0.6039,0,1,1
sd15_only,image_82.png,A person in a transit station,0.5,36.735,24.893,0.768,0.6886,0.6816,0.6098,0.6035,0,1,1
sd15_only,image_82.png,A person in a beach resort,0.7,36.735,25.008,0.7742,0.693,0.6737,0.6011,0.6032,0,1,1
sd15_only,image_82.png,A person in a transit station,0.7,36.735,25.008,0.7742,0.6886,0.6816,0.5879,0.6115,0,1,1
sd15_only,image_93.png,A person in a motel room,0.3,32.244,28.958,0.9394,0.7403,0.7144,0.7073,0.7243,0,0,0
sd15_only,image_93.png,A person in a tech launch event,0.3,32.244,28.958,0.9394,0.7541,0.7184,0.7105,0.7193,0,0,0
sd15_only,image_93.png,A person in a motel room,0.5,32.244,20.227,0.675,0.7403,0.7144,0.5593,0.5585,0,1,1
sd15_only,image_93.png,A person in a tech launch event,0.5,32.244,20.227,0.675,0.7541,0.7184,0.5719,0.5872,0,1,1
sd15_only,image_93.png,A person in a motel room,0.7,32.244,20.402,0.6793,0.7403,0.7144,0.5711,0.566,0,1,1
sd15_only,image_93.png,A person in a tech launch event,0.7,32.244,20.402,0.6793,0.7541,0.7184,0.5692,0.5675,0,1,1
sd15_only,image_94.png,A person in a computer lab,0.3,36.83,33.826,0.9725,0.8523,0.8479,0.841,0.8478,0,0,0
sd15_only,image_94.png,A person in a lobby,0.3,36.83,33.826,0.9725,0.8584,0.8499,0.8413,0.8501,0,0,0
sd15_only,image_94.png,A person in a computer lab,0.5,36.83,23.623,0.7962,0.8523,0.8479,0.7414,0.7469,0,1,1
sd15_only,image_94.png,A person in a lobby,0.5,36.83,23.623,0.7962,0.8584,0.8499,0.7569,0.7356,0,1,1
sd15_only,image_94.png,A person in a computer lab,0.7,36.83,23.703,0.7958,0.8523,0.8479,0.741,0.7343,0,1,1
sd15_only,image_94.png,A person in a lobby,0.7,36.83,23.703,0.7958,0.8584,0.8499,0.7382,0.7491,0,1,1
sd15_only,image_104.png,A person in a pet festival,0.3,38.031,35.983,0.9812,0.7379,0.7443,0.7281,0.7243,0,0,0
sd15_only,image_104.png,A person in a slum,0.3,38.031,35.983,0.9812,0.7419,0.7238,0.7208,0.7264,0,0,0
sd15_only,image_104.png,A person in a pet festival,0.5,38.031,24.525,0.7584,0.7379,0.7443,0.6494,0.6577,0,1,1
sd15_only,image_104.png,A person in a slum,0.5,38.031,24.525,0.7584,0.7419,0.7238,0.6629,0.6587,0,1,1
sd15_only,image_104.png,A person in a pet festival,0.7,38.031,24.426,0.7606,0.7379,0.7443,0.6437,0.6646,0,1,1
sd15_only,image_104.png,A person in a slum,0.7,38.031,24.426,0.7606,0.7419,0.7238,0.6506,0.6641,0,1,1
sd15_only,image_110.png,A person in a gym sauna,0.3,37.51,36.173,0.9829,0.7367,0.7361,0.7282,0.7292,0,0,0
sd15_only,image_110.png,A person in a glass factory,0.3,37.51,36.173,0.9829,0.7326,0.7202,0.7353,0.727,0,0,0
sd15_only,image_110.png,A person in a gym sauna,0.5,37.51,24.154,0.7517,0.7367,0.7361,0.642,0.6439,0,1,1
sd15_only,image_110.png,A person in a glass factory,0.5,37.51,24.154,0.7517,0.7326,0.7202,0.6333,0.6264,0,1,1
sd15_only,image_110.png,A person in a gym sauna,0.7,37.51,24.182,0.754,0.7367,0.7361,0.6486,0.6426,0,1,1
sd15_only,image_110.png,A person in a glass factory,0.7,37.51,24.182,0.754,0.7326,0.7202,0.6462,0.603,0,1,1
sd15_only,image_115.png,A person in a tram stop,0.3,30.55,28.803,0.9356,0.6323,0.5873,0.5879,0.6124,0,0,0
