image,prompt,condition,psnr_immunized,ssim_immunized,ssim_clean_edit,ssim_imm_edit,disrupted
image_57.png,A person in a gym sauna,25pct_overlap,28.739,0.9281,0.2111,0.114,1
image_57.png,A person in a community theater production,25pct_overlap,28.739,0.9281,0.1966,0.1501,0
image_57.png,A person in a gym sauna,50pct_overlap,27.214,0.9015,0.2111,0.1456,1
image_57.png,A person in a community theater production,50pct_overlap,27.214,0.9015,0.1966,0.0924,1
image_57.png,A person in a gym sauna,baseline_512,27.042,0.9291,0.2111,0.1389,1
image_57.png,A person in a community theater production,baseline_512,27.042,0.9291,0.1966,0.1419,1
image_58.png,A person in a costume shop,no_overlap,28.047,0.9391,0.2665,0.2098,1
image_58.png,A person in a candle shop,no_overlap,28.047,0.9391,0.2369,0.207,0
image_58.png,A person in a costume shop,25pct_overlap,27.518,0.9371,0.2665,0.2585,0
image_58.png,A person in a candle shop,25pct_overlap,27.518,0.9371,0.2369,0.1989,0
image_58.png,A person in a costume shop,50pct_overlap,27.823,0.9405,0.2665,0.2201,0
image_58.png,A person in a candle shop,50pct_overlap,27.823,0.9405,0.2369,0.2022,0
image_58.png,A person in a costume shop,baseline_512,29.321,0.9552,0.2665,0.1984,1
image_58.png,A person in a candle shop,baseline_512,29.321,0.9552,0.2369,0.1714,1
image_66.png,A person in a gym sauna,no_overlap,27.843,0.9582,0.2452,0.1855,1
image_66.png,A person in a technology fair,no_overlap,27.843,0.9582,0.2635,0.222,0
image_66.png,A person in a gym sauna,25pct_overlap,28.768,0.9663,0.2452,0.2032,0
image_66.png,A person in a technology fair,25pct_overlap,28.768,0.9663,0.2635,0.249,0
image_66.png,A person in a gym sauna,50pct_overlap,28.167,0.9572,0.2452,0.177,1
image_66.png,A person in a technology fair,50pct_overlap,28.167,0.9572,0.2635,0.3243,0
image_66.png,A person in a gym sauna,baseline_512,33.417,0.9772,0.2452,0.2511,0
image_66.png,A person in a technology fair,baseline_512,33.417,0.9772,0.2635,0.2545,0
image_67.png,A person in a butcher’s shop,no_overlap,28.604,0.9441,0.2338,0.163,1
